Feature,Outlier_Count,Percentage
Temp_Min,0,0.0
Temp_Max,0,0.0
Temp_Mean,0,0.0
Humidity_Min,0,0.0
Humidity_Max,25,1.4180374361883155
Humidity_Mean,2,0.11344299489506524
Pressure_Min,109,6.1826432217810545
Pressure_Max,97,5.501985252410663
Pressure_Mean,109,6.1826432217810545
Precipitation,270,15.314804310833807
Snowfall,111,6.2960862166761205
Sunshine,0,0.0
WindGust_Min,150,8.508224617129892
WindGust_Max,87,4.934770277935337
WindGust_Mean,108,6.125921724333523
WindSpeed_Min,122,6.920022688598978
WindSpeed_Max,76,4.310833806012479
WindSpeed_Mean,108,6.125921724333523
